X,theta_star_deg,argV_deg,delta_star_vs_argV_deg,delta_star_vs_peak_deg,absV,ZV,peak_deg_sigma_0.05,maxZ_sigma_0.05,peak_deg_sigma_0.1,maxZ_sigma_0.1,peak_deg_sigma_0.2,maxZ_sigma_0.2,gamma_standard,gamma_optimized
1000000,261.8692704770816,81.86927047708163,180.0,24.75684371926917,0.8665127740182145,0.5347426403106228,237.11242675781247,3.1622206086588878,232.80029296875,2.933040070648384,226.1151123046875,2.6015860424198447,2.9415103651224244,3.808023139140639
3000000,261.8692704770816,81.86927047708163,180.0,24.75684371926917,0.8665127740182145,0.5271175758049301,237.11242675781247,3.1622206086588878,232.80029296875,2.933040070648384,226.1151123046875,2.6015860424198447,3.018027056735057,3.8845398307532717
10000000,261.8692704770816,81.86927047708163,180.0,24.75684371926917,0.8665127740182145,0.5197051919018645,237.11242675781247,3.1622206086588878,232.80029296875,2.933040070648384,226.1151123046875,2.6015860424198447,3.0956610449496824,3.962173818967897
30000000,261.8181043107987,81.81810431079862,180.0,15.053843931388826,0.826923939677148,0.4901818765245784,276.8719482421875,3.163132652528283,272.515869140625,2.934167725000756,265.836181640625,2.603439051011024,3.1615987555390492,3.988522695216197
100000000,259.2131727265989,79.21317272659887,180.0,70.14046496871362,0.7942402150887915,0.46531419418671194,329.3536376953125,3.167755885249262,325.01953125,2.9376346971167675,318.350830078125,2.6056633137620593,3.2291924387236026,4.023432653812394
300000000,255.5046330168164,75.50463301681641,180.0,136.79517167068363,0.812384390896678,0.47128190481316407,32.2998046875,3.171948974266841,27.9766845703125,2.941449199668067,21.3189697265625,2.6080606746796438,3.287121814710399,4.099506205607077
1000000000,255.31072961386786,75.31072961386788,180.0,154.02227746543036,0.8686152249501435,0.4989029320509691,101.2884521484375,3.1758908845945806,96.96533203125,2.944464400349965,90.318603515625,2.6103610618444915,3.3469754746150038,4.215590699565148
3000000000,258.1283990038169,78.12839900381697,180.0,93.89377986319198,0.8917983372286048,0.5079091306501229,164.234619140625,3.179240242418859,159.9224853515625,2.9471428622300846,153.2757568359375,2.6122615016126454,3.3986315023319142,4.290429839560519
5000000000,259.5467075352839,79.54670753528384,180.0,66.04451026965886,0.8854732268822642,0.5024247944831535,193.502197265625,3.180680989235111,189.1900634765625,2.948197788572722,182.548828125,2.6130675203462626,3.421770592048853,4.307243818931117
7000000000,260.2963521031431,80.29635210314306,180.0,47.51314897814308,0.8760534126776325,0.4958876311973066,212.783203125,3.181520895846984,208.4710693359375,2.9489723184573426,201.8353271484375,2.6135792515898273,3.4367245676962708,4.3127779803739035
10000000000,260.83142442959354,80.83142442959357,180.0,27.61365099209351,0.8628161660582631,0.4871778005510246,233.21777343750003,3.182402640228663,228.9111328125,2.9496949967318105,222.275390625,2.6141015210532106,3.452335990293807,4.31515215635207
30000000000,260.31063451535033,80.31063451535032,180.0,35.85879907839967,0.819180504781226,0.45914075544074173,296.16943359375,3.1849880582835253,291.86279296875,2.951770335968575,285.2325439453125,2.61562542208956,3.4989448490248782,4.318125353806105
50000000000,259.0848196057036,79.08481960570363,180.0,66.35219211304639,0.8079263140321934,0.45134985365880753,325.43701171875,3.1860869178016995,321.13037109375,2.9526882531496095,314.505615234375,2.6162836804730567,3.519898372858894,4.327824686891088
70000000000,258.1344409409555,78.13444094095553,180.0,86.58357663716947,0.806165268489527,0.4494156887491646,344.718017578125,3.1867741796034283,340.411376953125,2.953279936946352,333.78662109375,2.6167043112525183,3.5334640816515113,4.339629350141038
100000000000,257.16076170922645,77.16076170922646,180.0,107.99182618139852,0.809416145361744,0.45023685628514204,5.152587890625,3.1875504269601174,0.845947265625,2.953889076243728,354.2266845703125,2.617135736248945,3.547646170100027,4.3570623154617705
300000000000,255.59880137593592,75.59880137593592,180.0,172.4999535068766,0.8429075355612731,0.4658164953436948,68.0987548828125,3.1896704875121213,63.797607421875,2.9556261804723327,57.1783447265625,2.618390276556504,3.590106494963211,4.433014030524484
500000000000,255.8853138779614,75.88531387796144,180.0,158.51348770608644,0.8613596673379539,0.4746281650482425,97.371826171875,3.1906100917212497,93.0706787109375,2.9563942247418997,86.451416015625,2.618937889607295,3.6092517014128824,4.470611368750836
1000000000000,257.0792533023579,77.07925330235796,180.0,119.99185095860794,0.8784324147219569,0.48217946606904705,137.08740234375,3.1918118559852453,132.7862548828125,2.9573816665477013,126.1724853515625,2.6196484530757655,3.6346575470898284,4.513089961811785
